auroc,auprc,f1,recall,precision,specificity,accuracy,tp,fp,tn,fn,fold,best_params
0.7840909090909091,0.63075917286913,0.5454545454545454,0.6428571428571429,0.47368421052631576,0.7727272727272727,0.7413793103448276,9,10,34,5,1,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.7126623376623377,0.5351437724186824,0.4827586206896552,0.5,0.4666666666666667,0.8181818181818182,0.7413793103448276,7,8,36,7,2,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}"
0.7613636363636364,0.5853778899753104,0.5454545454545454,0.6428571428571429,0.47368421052631576,0.7727272727272727,0.7413793103448276,9,10,34,5,3,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.8529914529914531,0.5296754279121976,0.6875,0.8461538461538461,0.5789473684210527,0.8222222222222222,0.8275862068965517,11,8,37,2,4,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.75,0.4299335270230334,0.5142857142857142,0.6923076923076923,0.4090909090909091,0.7045454545454546,0.7017543859649122,9,13,31,4,5,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.8376623376623377,0.5425625069966502,0.6285714285714286,0.7857142857142857,0.5238095238095238,0.7727272727272727,0.7758620689655172,11,10,34,3,6,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.7775974025974026,0.5337449726013848,0.5806451612903226,0.6428571428571429,0.5294117647058824,0.8181818181818182,0.7758620689655172,9,8,36,5,7,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.8409090909090908,0.7587198089645474,0.6285714285714286,0.7857142857142857,0.5238095238095238,0.7727272727272727,0.7758620689655172,11,10,34,3,8,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.7641025641025642,0.5594035795122752,0.5555555555555556,0.7692307692307693,0.43478260869565216,0.7111111111111111,0.7241379310344828,10,13,32,3,9,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.7307692307692307,0.5423294992760936,0.35714285714285715,0.38461538461538464,0.3333333333333333,0.7727272727272727,0.6842105263157895,5,10,34,8,10,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.7451298701298701,0.6017706720369307,0.47058823529411764,0.5714285714285714,0.4,0.7272727272727273,0.6896551724137931,8,12,32,6,11,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.8587662337662337,0.6814144005044048,0.6666666666666666,0.7142857142857143,0.625,0.8636363636363636,0.8275862068965517,10,6,38,4,12,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.7288961038961038,0.5017343350262914,0.5714285714285714,0.7142857142857143,0.47619047619047616,0.75,0.7413793103448276,10,11,33,4,13,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
0.6991452991452991,0.39536548512503306,0.4,0.46153846153846156,0.35294117647058826,0.7555555555555555,0.6896551724137931,6,11,34,7,14,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}"
0.8234265734265734,0.632337985801608,0.6060606060606061,0.7692307692307693,0.5,0.7727272727272727,0.7719298245614035,10,10,34,3,15,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}"
