auroc,auprc,f1,recall,precision,specificity,accuracy,tp,fp,tn,fn,fold,best_params
0.7646103896103895,0.5707514824111463,0.5161290322580645,0.5714285714285714,0.47058823529411764,0.7954545454545454,0.7413793103448276,8,9,35,6,1,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6866883116883117,0.4468969466677446,0.48,0.42857142857142855,0.5454545454545454,0.8863636363636364,0.7758620689655172,6,5,39,8,2,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6834415584415585,0.494287515618855,0.5161290322580645,0.5714285714285714,0.47058823529411764,0.7954545454545454,0.7413793103448276,8,9,35,6,3,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.7504273504273504,0.5282800638447016,0.43478260869565216,0.38461538461538464,0.5,0.8888888888888888,0.7758620689655172,5,5,40,8,4,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6905594405594405,0.5462264946221359,0.4666666666666667,0.5384615384615384,0.4117647058823529,0.7727272727272727,0.7192982456140351,7,10,34,6,5,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
0.7321428571428572,0.5358550554697805,0.45454545454545453,0.35714285714285715,0.625,0.9318181818181818,0.7931034482758621,5,3,41,9,6,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6720779220779222,0.3690802856565586,0.4,0.42857142857142855,0.375,0.7727272727272727,0.6896551724137931,6,10,34,8,7,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8}"
0.7808441558441559,0.6509809343317746,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.9090909090909091,0.8275862068965517,8,4,40,6,8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6991452991452991,0.49558114564822975,0.36363636363636365,0.3076923076923077,0.4444444444444444,0.8888888888888888,0.7586206896551724,4,5,40,9,9,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6800699300699301,0.382499295692441,0.2857142857142857,0.23076923076923078,0.375,0.8863636363636364,0.7368421052631579,3,5,39,10,10,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
0.7012987012987013,0.45593437445284346,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.9090909090909091,0.7413793103448276,3,4,40,11,11,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': 6, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
0.6915584415584415,0.4267167661642908,0.4,0.35714285714285715,0.45454545454545453,0.8636363636363636,0.7413793103448276,5,6,38,9,12,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.7646103896103896,0.5060435888443715,0.46153846153846156,0.42857142857142855,0.5,0.8636363636363636,0.7586206896551724,6,6,38,8,13,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0}"
0.6752136752136753,0.50109123252002,0.37037037037037035,0.38461538461538464,0.35714285714285715,0.8,0.7068965517241379,5,9,36,8,14,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 0.8}"
0.7167832167832168,0.6023580701698086,0.4444444444444444,0.46153846153846156,0.42857142857142855,0.8181818181818182,0.7368421052631579,6,8,36,7,15,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 500, 'clf__subsample': 1.0}"
