auroc,auprc,f1,recall,precision,specificity,accuracy,tp,fp,tn,fn,fold,best_params
0.6233766233766234,0.3925150519978106,0.3888888888888889,0.5,0.3181818181818182,0.6590909090909091,0.6206896551724138,7,15,29,7,1,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.3, 'selector__k': 50}"
0.5584415584415584,0.3211066440879351,0.3870967741935484,0.42857142857142855,0.35294117647058826,0.75,0.6724137931034483,6,11,33,8,2,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 50}"
0.5762987012987013,0.3450074627753199,0.4,0.42857142857142855,0.375,0.7727272727272727,0.6896551724137931,6,10,34,8,3,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 50}"
0.5076923076923077,0.23697490523560757,0.1875,0.23076923076923078,0.15789473684210525,0.6444444444444445,0.5517241379310345,3,16,29,10,4,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.7, 'selector__k': 200}"
0.5874125874125874,0.3430166787871003,0.4375,0.5384615384615384,0.3684210526315789,0.7272727272727273,0.6842105263157895,7,12,32,6,5,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.7, 'selector__k': 50}"
0.6493506493506493,0.33842561526248016,0.48484848484848486,0.5714285714285714,0.42105263157894735,0.75,0.7068965517241379,8,11,33,6,6,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.5, 'selector__k': 100}"
0.6444805194805194,0.350954472426036,0.2962962962962963,0.2857142857142857,0.3076923076923077,0.7954545454545454,0.6724137931034483,4,9,35,10,7,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.7, 'selector__k': 200}"
0.6931818181818181,0.5388441698786526,0.5294117647058824,0.6428571428571429,0.45,0.75,0.7241379310344828,9,11,33,5,8,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2, 'selector__k': 50}"
0.6598290598290598,0.3833657768347988,0.45714285714285713,0.6153846153846154,0.36363636363636365,0.6888888888888889,0.6724137931034483,8,14,31,5,9,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 50}"
0.49125874125874125,0.2448470005868909,0.27586206896551724,0.3076923076923077,0.25,0.7272727272727273,0.631578947368421,4,12,32,9,10,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.5, 'selector__k': 100}"
0.5405844155844155,0.31663081229038803,0.3333333333333333,0.35714285714285715,0.3125,0.75,0.6551724137931034,5,11,33,9,11,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.5, 'selector__k': 200}"
0.6347402597402597,0.4529588252366856,0.37037037037037035,0.35714285714285715,0.38461538461538464,0.8181818181818182,0.7068965517241379,5,8,36,9,12,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 200}"
0.5974025974025974,0.4388395944839759,0.5,0.5714285714285714,0.4444444444444444,0.7727272727272727,0.7241379310344828,8,10,34,6,13,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.7, 'selector__k': 50}"
0.5504273504273505,0.29274524187309375,0.3870967741935484,0.46153846153846156,0.3333333333333333,0.7333333333333333,0.6724137931034483,6,12,33,7,14,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2, 'selector__k': 200}"
0.5472027972027972,0.2797463378722346,0.27586206896551724,0.3076923076923077,0.25,0.7272727272727273,0.631578947368421,4,12,32,9,15,"{'classifier__C': 0.01, 'classifier__l1_ratio': 0.2, 'selector__k': 50}"
