feature,type,frequency,selection_count,median_coef,mean_coef,std_coef,q25,q75,abs_median_coef,importance_score,perm_importance_mean,perm_importance_std
figo_stage_encoded,Clinical,1.0,15,0.20100258488256226,0.23544074029454862,0.14034747432070263,0.10786840136078112,0.33053000560128143,0.20100258488256226,0.20100258488256226,0.10325630252100848,0.018637485187287164
primary_diagnosis_Carcinoma,Clinical,0.13333333333333333,2,0.13129148186147835,0.13129148186147835,0.02192953174078168,0.12032671599108752,0.1422562477318692,0.13129148186147835,0.01750553091486378,0.0,0.0
primary_diagnosis_Serous,Clinical,0.13333333333333333,2,-0.1144972234112697,-0.1144972234112697,0.01285296650071837,-0.12092370666162888,-0.10807074016091052,0.1144972234112697,0.01526629645483596,0.006932773109243795,0.009788653577497254
tumor_grade_encoded,Clinical,0.26666666666666666,4,0.03516401243619144,0.030050422360355114,0.01974338767588302,0.018978250154335845,0.0462361846422107,0.03516401243619144,0.009377069982984383,0.0,0.0
primary_diagnosis_Endometrioid,Clinical,0.13333333333333333,2,-0.04268777301822528,-0.04268777301822528,0.015434251882383851,-0.0504048989594172,-0.03497064707703335,0.04268777301822528,0.005691703069096704,0.0,0.0
disease_type_Adenomas_and_Adenocarcinomas,Clinical,0.13333333333333333,2,-0.0307226201440653,-0.0307226201440653,0.0034690990082238745,-0.03245716964817724,-0.028988070639953366,0.0307226201440653,0.00409634935254204,0.0,0.0
disease_type_Cystic_Mucinous_Serous_Neoplasms,Clinical,0.2,3,0.011421376446271008,0.007027444710992733,0.014170169951330499,-0.0003403377302463855,0.01659219301987099,0.011421376446271008,0.002284275289254202,0.0,0.0
days_to_consent,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disease_type_Epithelial_Neoplasms_NOS,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
race_american indian or alaska native,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
race_asian,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
race_black or african american,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
race_native hawaiian or other pacific islander,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
race_white,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age_at_diagnosis,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tumor_classification_primary,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_primary_disease,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
primary_diagnosis_Clear_cell,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prior_malignancy,Clinical,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
