feature,gene_name,selection_count,frequency,median_coef,mean_coef,importance_score,pathway,perm_importance_mean,perm_importance_std
gene_DUSP6,DUSP6,15,1.0,-0.6284563172605213,-0.6563559447961654,0.6284563172605213,MAPK_hsa04010,0.005357142857142827,0.004342442564830754
gene_FGF16,FGF16,14,0.9333333333333333,0.6484006473359529,0.6271307892302634,0.6051739375135561,PI3K_Akt_hsa04151,0.0,0.0
gene_CACNG5,CACNG5,14,0.9333333333333333,-0.6124311567929484,-0.6406426805284037,0.5716024130067519,MAPK_hsa04010,0.0,0.0
gene_GADD45A,GADD45A,13,0.8666666666666667,-0.6532178743805963,-0.6479777752614011,0.5661221577965169,p53_hsa04115,-0.008088235294117651,0.009707723824001705
gene_PRR5L,PRR5L,14,0.9333333333333333,-0.5533379416304554,-0.5076467804802244,0.5164487455217583,mTOR_hsa04150,0.0,0.0
gene_PRR5,PRR5,15,1.0,-0.47191445916879815,-0.4626759508749266,0.47191445916879815,mTOR_hsa04150,0.0,0.0
gene_YWHAG,YWHAG,15,1.0,0.4562389548880827,0.43918789039070333,0.4562389548880827,PI3K_Akt_hsa04151,0.0,0.0
gene_PPP2R2C,PPP2R2C,11,0.7333333333333333,-0.5984545340552743,-0.5515229997521985,0.4388666583072011,PI3K_Akt_hsa04151,0.0,0.0
gene_OSMR,OSMR,14,0.9333333333333333,0.46431199507949716,0.411117588620873,0.43335786207419735,PI3K_Akt_hsa04151,-2.2204460492503132e-17,0.0037286217120375883
gene_PIK3C2B,PIK3C2B,14,0.9333333333333333,0.4516625502910968,0.4785161818973388,0.4215517136050237,IGF1_signaling,0.0,0.0
gene_SERPINB5,SERPINB5,11,0.7333333333333333,0.5564157649120561,0.5700847685654223,0.40803822760217445,p53_hsa04115,0.0,0.0
gene_PTEN,PTEN,8,0.5333333333333333,-0.7595527755240674,-0.7826753509580009,0.40509481361283595,PI3K_Akt_hsa04151,0.0,0.0
gene_CACNA2D1,CACNA2D1,13,0.8666666666666667,0.46618071493513014,0.4442489584013015,0.4040232862771128,MAPK_hsa04010,0.0,0.0
gene_HSP90AA1,HSP90AA1,15,1.0,0.39064250653034693,0.46837947268948615,0.39064250653034693,PI3K_Akt_hsa04151,0.0,0.0
gene_SLC38A9,SLC38A9,14,0.9333333333333333,-0.416168273528127,-0.37574066720235877,0.38842372195958524,mTOR_hsa04150,0.0,0.0
gene_MAP2K2,MAP2K2,14,0.9333333333333333,-0.4047458762682903,-0.3462996874228293,0.3777628178504043,PI3K_Akt_hsa04151,0.0,0.0
gene_ATF6B,ATF6B,13,0.8666666666666667,0.4214118544947742,0.4347630474658209,0.3652236072288043,PI3K_Akt_hsa04151,0.0,0.0
gene_LPIN1,LPIN1,12,0.8,0.45029897664110735,0.4666172367901789,0.3602391813128859,mTOR_hsa04150,0.0,0.0
gene_TLE3,TLE3,13,0.8666666666666667,-0.3934325606443692,-0.41465499322021454,0.34097488589178665,WNT_hsa04310,0.0,0.0
gene_HSPA1B,HSPA1B,14,0.9333333333333333,0.36487665176298845,0.33594282938717573,0.34055154164545587,MAPK_hsa04010,0.0005252100840336005,0.004750176073359251
gene_STK11,STK11,12,0.8,-0.4053607694627315,-0.4181902074169892,0.3242886155701852,PI3K_Akt_hsa04151,0.015126050420168003,0.013478163808693626
gene_CCND2,CCND2,9,0.6,-0.5249492309014244,-0.5620714201327496,0.31496953854085463,WNT_hsa04310,0.0,0.0
gene_CACNA1I,CACNA1I,8,0.5333333333333333,-0.5744268492443114,-0.6172013220583416,0.30636098626363273,MAPK_hsa04010,0.0,0.0
gene_GNGT1,GNGT1,12,0.8,0.37600849451854723,0.35012864003785293,0.3008067956148378,PI3K_Akt_hsa04151,0.0,0.0
gene_IGF1R,IGF1R,14,0.9333333333333333,-0.321170797224236,-0.3179738802740476,0.2997594107426203,PI3K_Akt_hsa04151,0.0,0.0
gene_BAMBI,BAMBI,15,1.0,-0.29103916184940104,-0.24544644728553255,0.29103916184940104,WNT_hsa04310,0.0,0.0
gene_SOCS3,SOCS3,15,1.0,0.2902627692054907,0.2818437110115566,0.2902627692054907,IGF1_signaling,0.0,0.0
gene_YWHAB,YWHAB,13,0.8666666666666667,0.3324679617534626,0.33207311106313825,0.28813890018633426,PI3K_Akt_hsa04151,-0.0006302521008403561,0.011774080898489109
gene_PLA2G4E,PLA2G4E,13,0.8666666666666667,-0.3267391087545142,-0.3934192850947713,0.2831738942539123,MAPK_hsa04010,0.0,0.0
gene_CACNA2D3,CACNA2D3,14,0.9333333333333333,0.2994932964179675,0.31660996285962056,0.2795270766567697,MAPK_hsa04010,0.0,0.0
gene_RPS6KA2,RPS6KA2,9,0.6,-0.46221073425983755,-0.5016393201651265,0.2773264405559025,mTOR_hsa04150,0.0,0.0
gene_CACYBP,CACYBP,12,0.8,0.34653040294268955,0.3730906391039231,0.2772243223541517,WNT_hsa04310,0.0,0.0
gene_MSH2,MSH2,11,0.7333333333333333,-0.3772160213689648,-0.3089168221003696,0.27662508233724087,MMR_hsa03430,-0.0007352941176470784,0.003931715813490096
gene_CACNG3,CACNG3,12,0.8,0.3438701332877276,0.37465985324312445,0.2750961066301821,MAPK_hsa04010,0.0,0.0
gene_ITGA10,ITGA10,13,0.8666666666666667,-0.31168785379093833,-0.3407657172410449,0.27012947328547987,PI3K_Akt_hsa04151,0.005252100840336093,0.019584069220876323
gene_CSF3,CSF3,15,1.0,-0.2667098752429671,-0.28944431669641524,0.2667098752429671,PI3K_Akt_hsa04151,0.0,0.0
gene_RRAGA,RRAGA,12,0.8,0.32983094130940954,0.3238605243230163,0.26386475304752766,mTOR_hsa04150,0.020903361344537776,0.010634174883207883
gene_COL6A5,COL6A5,14,0.9333333333333333,0.28044218040353647,0.2688300336229185,0.2617460350433007,PI3K_Akt_hsa04151,0.0,0.0
gene_ATP6V1C1,ATP6V1C1,9,0.6,-0.4273415855513083,-0.390171126435487,0.25640495133078495,mTOR_hsa04150,0.0,0.0
gene_EFNA3,EFNA3,10,0.6666666666666666,0.380878002023798,0.3674748391917119,0.2539186680158653,PI3K_Akt_hsa04151,0.02058823529411761,0.013608516588824903
gene_BID,BID,12,0.8,0.3170825758795046,0.35015838285411194,0.2536660607036037,p53_hsa04115,0.0,0.0
gene_GNB5,GNB5,12,0.8,0.31472010993177224,0.3459524129795543,0.2517760879454178,PI3K_Akt_hsa04151,0.0,0.0
gene_NF1,NF1,12,0.8,0.311670770197846,0.3141491491900914,0.24933661615827682,MAPK_hsa04010,0.0,0.0
gene_CDKN2A,CDKN2A,13,0.8666666666666667,-0.2872990058185496,-0.2899565855901138,0.24899247170940966,p53_hsa04115,-0.0021008403361344463,0.0013286880925077176
gene_RFC1,RFC1,12,0.8,0.2935671244851441,0.2829359453010227,0.2348536995881153,MMR_hsa03430,0.0,0.0
gene_PLA2G4B,PLA2G4B,12,0.8,-0.2933422487744676,-0.27432893922930973,0.23467379901957408,MAPK_hsa04010,0.0,0.0
gene_RPRM,RPRM,12,0.8,0.28995079358744136,0.2984440018907377,0.2319606348699531,p53_hsa04115,0.0,0.0
gene_IFNA10,IFNA10,11,0.7333333333333333,0.3127843006082512,0.29890332715061546,0.2293751537793842,PI3K_Akt_hsa04151,0.008928571428571386,0.00587202725183769
gene_IL1RAP,IL1RAP,10,0.6666666666666666,-0.3440159642039412,-0.36891024948089524,0.2293439761359608,MAPK_hsa04010,0.0,0.0
gene_RPS6KB1,RPS6KB1,12,0.8,0.2848524915743853,0.24771626953724982,0.22788199325950825,PI3K_Akt_hsa04151,0.0,0.0
