feature,gene_name,selection_count,frequency,median_coef,mean_coef,importance_score,pathway,perm_importance_mean,perm_importance_std
gene_NPRL2,NPRL2,0,0.0,0.0,0.0,0.0,mTOR_hsa04150,0.06092436974789911,0.019735603180731046
gene_SGK1,SGK1,1,0.06666666666666667,-0.15161087002988008,-0.15161087002988008,0.010107391335325339,PI3K_Akt_hsa04151,0.047689075630252056,0.0262277106164548
gene_IFNA21,IFNA21,4,0.26666666666666666,0.09928988332760393,0.09927629512662511,0.02647730222069438,PI3K_Akt_hsa04151,0.044222689075630206,0.01299680081552603
gene_FGF22,FGF22,4,0.26666666666666666,0.17651181417197473,0.15110382423247484,0.04706981711252659,PI3K_Akt_hsa04151,0.027521008403361302,0.01262952803797406
gene_RRAGD,RRAGD,1,0.06666666666666667,-0.10407077212216553,-0.10407077212216553,0.006938051474811036,mTOR_hsa04150,0.0247899159663865,0.008841019080882698
gene_MAPK1,MAPK1,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.023319327731092375,0.010904150649042831
gene_DVL3,DVL3,2,0.13333333333333333,-0.148791472335441,-0.148791472335441,0.0198388629780588,WNT_hsa04310,0.02174369747899154,0.007155975348844987
gene_EIF4EBP1,EIF4EBP1,5,0.3333333333333333,0.1623352933164958,0.24651913092005168,0.05411176443883193,PI3K_Akt_hsa04151,0.021638655462184807,0.008313596192188796
gene_RRAGA,RRAGA,12,0.8,0.32983094130940954,0.3238605243230163,0.26386475304752766,mTOR_hsa04150,0.020903361344537776,0.010634174883207883
gene_EFNA3,EFNA3,10,0.6666666666666666,0.380878002023798,0.3674748391917119,0.2539186680158653,PI3K_Akt_hsa04151,0.02058823529411761,0.013608516588824903
gene_STMN1,STMN1,5,0.3333333333333333,0.08784516489473947,0.08542683262189733,0.02928172163157982,MAPK_hsa04010,0.020588235294117595,0.020135214839504617
gene_PDGFD,PDGFD,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.019642857142857108,0.005060583811111743
gene_IRAK4,IRAK4,6,0.4,-0.36458613970740994,-0.3967310838413122,0.14583445588296398,MAPK_hsa04010,0.018697478991596583,0.01971210774073931
gene_RAF1,RAF1,0,0.0,0.0,0.0,0.0,PI3K_Akt_hsa04151,0.017331932773109193,0.014572095518451806
gene_CACNG6,CACNG6,4,0.26666666666666666,0.1876521499200287,0.2010276000227062,0.050040573312007654,MAPK_hsa04010,0.016911764705882293,0.0028747756687823446
gene_MAP3K11,MAP3K11,0,0.0,0.0,0.0,0.0,MAPK_hsa04010,0.016491596638655393,0.009157953159192045
